Character, number of unique words
rabbi, 66
a musician, 6
lab tech 2, 6
protester 5, 1
black kid, 7
richards, 95
bennigan's chef, 8
lead fbi agent, 17
"cruise, 21
kanye, 431
peterson, 56
wonder woman, 16
fifth grader, 65
other officers, 10
group, 60
attendant 1, 38
cheerleaders, 41
mr. hardly, 96
lamb chop, 42
senator 4, 12
"you and me, 40
farmer, 76
man in audience, 3
stingray announcer, 34
chief running pinto (tommy chong in his stoner voice), 15
stephen tamil, 33
ms. sanders, 41
a man, 40
tony kornheiser, 48
alien carl, 7
tucker, 87
club members, 2
lead biker, 249
secure group, 2
teller, 129
chinese kid, 4
mrs. tweak, 166
"a singer, 12
hancock, 28
hemorrhoid, 2
the boys (except cartman) and dr. phillips, 4
scientist 1, 86
scientist 3, 7
scientist 2, 86
scientist 5, 6
scientist 4, 4
grandma obama, 9
other townsfolk, 1
stan marsh, 14
woodpeckery, 16
señor lopez, 25
sinéad, 19
left creature, 1
ed, 26
scott tenorman, 147
meat loaf, 30
elder garth, 203
man with foot on head, 116
caller 2, 17
bradley, 157
lion 1, 11
phillip stand-in, 49
persian, 3
townswoman, 19
oc leader, 60
girl, 148
second baseman, 7
kkk leader, 112
al gore, 358
george bush, 59
soloist, 18
linda stotch, 17
other vamps, 1
tom shane, 4
david duchovny, 3
stallone, 13
priest, 207
doi 1, 130
doi 3, 20
doi 2, 90
old man 2, 23
other campers, 1
melvins, 7
espn announcer, 13
reveler, 2
smalls, 115
bookie, 15
"the ramseys, 8
sonny, 27
garrison actor, 7
plex, 101
mercedes, 180
fbi agents, 1
future stan, 170
carl, 36
grandma, 101
man with no face, 35
pedo 2, 13
pedo 3, 9
barbrady actor, 30
orc, 9
pedo 6, 3
pedo 7, 5
t-shirt vendor, 9
tong leader, 167
anderson cooper, 61
factory workers, 24
estella, 148
mr. hat 1, 7
congressman, 1
punk, 2
r. booth, 13
registrar, 29
gordon, 45
blacksmith, 6
cartmans/boys, 32
two swat men, 2
rumsfeld, 9
eod leader, 34
pueblo dad, 5
john garner, 134
kid magician, 1
lollipop king, 66
galeed, 77
rachel, 36
blond boy, 2
jeffrey maynard, 69
demonius, 48
teen boy 7, 4
president hirohito, 153
man in back, 1
the boys, 126
jakartha, 54
rudy, 26
engineer, 12
sheep, 1
mailman and kids, 30
jimmie johnson, 34
teen boy 2, 22
carson, 41
dr. spookalot, 17
shoppers, 15
all three, 11
bsm-471, 222
bobo, 50
driver 3, 18
driver 1, 34
driver 4, 7
driver 5, 8
janitor 2, 3
woodland critters, 25
french captain, 69
city wok owner, 43
male nurse, 33
blonde nurse, 10
clinic doctor, 166
cops, 23
mrs. miller, 94
cpt. gabriel, 59
eric roberts, 15
thad, 23
bum 6, 1
boyfriend, 30
her blossom, 7
ted koppel, 114
nathan, 434
chef's mom, 46
baahir, 23
radio talk show host, 27
stormtrooper, 1
terrance, 696
joozian 1, 128
"mike, 5
mr. jarvis, 30
counselor, 84
janitor, 73
russia, 6
sam, 9
resident 10, 7
craig, 842
resident 12, 16
resident 13, 4
resident 14, 4
det. jarvis, 72
voices, 8
biker 8, 6
biker 9, 1
mr. wyland, 206
comedian, 93
stanley, 3
biker 2, 61
u.n. leader, 46
biker 4, 13
biker 5, 9
kevin, 215
superman, 42
mr. harris, 31
stephen stotch, 27
u.s. army official, 43
randy marsh, 2
fr. maxi, 19
jefferson, 47
bob saget, 140
bailey, 49
transient man 4, 26
transient man 6, 27
transient man 1, 29
transient man 3, 23
transient man 2, 19
postmaster, 57
talk show host, 26
sound man, 41
chamber of farts operator, 24
asian reporter, 43
pharaoh, 81
dylan, 28
uaa leader, 138
connor, 2
counselor steve, 9
librarian, 53
tracy, 45
other members, 10
woman 1, 253
michelle, 218
woman 3, 74
woman 2, 169
woman 5, 14
woman 4, 60
woman 7, 8
woman 6, 5
woman 8, 1
phil, 239
ex-convict, 71
tooth, 13
publisher 2, 76
publisher 1, 77
with boys, 29
profile 3, 1
uncle, 8
harvey brown, 102
butter's voice, 7
viewer 1, 7
army official, 40
detective, 226
japanese delegate, 4
rockety rocket, 18
head of programming, 83
"man 2, 3
people in crowd, 8
moderator, 37
a guard, 3
therapist, 196
old woman 2, 3
line ride operator, 27
indian 1, 14
blond knight, 18
enrique iglesias, 7
adolf, 26
cheesy poof cartman, 1
otis, 31
chef actor, 35
nadia, 13
thompson, 21
